date,adults_count,category_id,category_name,group_id,tariff_code,price_rub,raw_price_minor,source,room_type_code,rate_plan_code,service_rph,placement_code
2026-04-07,5,Президентская Винная Вилла,Президентская Винная Вилла,VILLA,fullpansion,454800.00,45480000,travelline,113648,851329|851363,,251631
2026-04-07,5,Семейная Винная Вилла,Семейная Винная Вилла,VILLA,breakfast,272600.00,27260000,travelline,113646,851329|851363,,251624
2026-04-07,5,Семейная Винная Вилла,Семейная Винная Вилла,VILLA,fullpansion,302800.00,30280000,travelline,113646,851329|851363,,251624
2026-04-07,5,Семейная Винная Вилла (для людей с физическими особенностями),Семейная Винная Вилла (для людей с физическими особенностями),VILLA,breakfast,272600.00,27260000,travelline,129428,851329|851363,,291409
2026-04-07,5,Семейная Винная Вилла (для людей с физическими особенностями),Семейная Винная Вилла (для людей с физическими особенностями),VILLA,fullpansion,302800.00,30280000,travelline,129428,851329|851363,,291409
2026-04-07,6,Императорская Вилла,Императорская Вилла,VILLA,breakfast,555700.00,55570000,travelline,71012,851329|851363,,144795
2026-04-07,6,Императорская Вилла,Императорская Вилла,VILLA,fullpansion,656600.00,65660000,travelline,71012,851329|851363,,144795
2026-04-07,6,Коннект Делюкс Прайм с видом на море (два смежных номера | размещение на 6-м этаже),Коннект Делюкс Прайм с видом на море (два смежных номера | размещение на 6-м этаже),DELUXE,breakfast,95600.00,9560000,travelline,222986,849522|849525,,153725|532687
2026-04-07,6,Коннект Делюкс Прайм с видом на море (два смежных номера | размещение на 6-м этаже),Коннект Делюкс Прайм с видом на море (два смежных номера | размещение на 6-м этаже),DELUXE,fullpansion,103700.00,10370000,travelline,222986,849522|849525,,153725|532687
2026-04-07,6,Президентская Винная Вилла,Президентская Винная Вилла,VILLA,breakfast,403700.00,40370000,travelline,113648,851329|851363,,251632
2026-04-07,6,Президентская Винная Вилла,Президентская Винная Вилла,VILLA,fullpansion,454800.00,45480000,travelline,113648,851329|851363,,251632
2026-04-07,6,Семейная Винная Вилла,Семейная Винная Вилла,VILLA,breakfast,272600.00,27260000,travelline,113646,851329|851363,,251625
2026-04-07,6,Семейная Винная Вилла,Семейная Винная Вилла,VILLA,fullpansion,302800.00,30280000,travelline,113646,851329|851363,,251625
2026-04-07,6,Семейная Винная Вилла (для людей с физическими особенностями),Семейная Винная Вилла (для людей с физическими особенностями),VILLA,breakfast,272600.00,27260000,travelline,129428,851329|851363,,291404
2026-04-07,6,Семейная Винная Вилла (для людей с физическими особенностями),Семейная Винная Вилла (для людей с физическими особенностями),VILLA,fullpansion,302800.00,30280000,travelline,129428,851329|851363,,291404
2026-04-08,1,Императорская Вилла,Императорская Вилла,VILLA,breakfast,555700.00,55570000,travelline,71012,851329|851363,,144790
2026-04-08,1,Императорская Вилла,Императорская Вилла,VILLA,fullpansion,656600.00,65660000,travelline,71012,851329|851363,,144790
2026-04-08,1,Коннект Делюкс Прайм с видом на горы/сад (два смежных номера | размещение на 6-м этаже),Коннект Делюкс Прайм с видом на горы/сад (два смежных номера | размещение на 6-м этаже),DELUXE,breakfast,63500.00,6350000,travelline,222981,849522|849525,,532676
2026-04-08,1,Коннект Делюкс Прайм с видом на горы/сад (два смежных номера | размещение на 6-м этаже),Коннект Делюкс Прайм с видом на горы/сад (два смежных номера | размещение на 6-м этаже),DELUXE,fullpansion,70200.00,7020000,travelline,222981,849522|849525,,532676
2026-04-08,1,Коннект Делюкс Прайм с видом на море (два смежных номера | размещение на 6-м этаже),Коннект Делюкс Прайм с видом на море (два смежных номера | размещение на 6-м этаже),DELUXE,breakfast,73600.00,7360000,travelline,222986,849522|849525,,532686
2026-04-08,1,Коннект Делюкс Прайм с видом на море (два смежных номера | размещение на 6-м этаже),Коннект Делюкс Прайм с видом на море (два смежных номера | размещение на 6-м этаже),DELUXE,fullpansion,81700.00,8170000,travelline,222986,849522|849525,,532686
2026-04-08,1,Пентхаус (размещение на 6-м этаже),Пентхаус (размещение на 6-м этаже),PENTHOUSE,breakfast,118700.00,11870000,travelline,223050,849522|849525,,532821
2026-04-08,1,Пентхаус (размещение на 6-м этаже),Пентхаус (размещение на 6-м этаже),PENTHOUSE,fullpansion,131500.00,13150000,travelline,223050,849522|849525,,532821
2026-04-08,1,Президентская Винная Вилла,Президентская Винная Вилла,VILLA,breakfast,403700.00,40370000,travelline,113648,851329|851363,,251627
2026-04-08,1,Президентская Винная Вилла,Президентская Винная Вилла,VILLA,fullpansion,454800.00,45480000,travelline,113648,851329|851363,,251627
2026-04-08,1,Семейная Винная Вилла,Семейная Винная Вилла,VILLA,breakfast,272600.00,27260000,travelline,113646,851329|851363,,251620
2026-04-08,1,Семейная Винная Вилла,Семейная Винная Вилла,VILLA,fullpansion,302800.00,30280000,travelline,113646,851329|851363,,251620
2026-04-08,1,Семейная Винная Вилла (для людей с физическими особенностями),Семейная Винная Вилла (для людей с физическими особенностями),VILLA,breakfast,272600.00,27260000,travelline,129428,851329|851363,,291405
2026-04-08,1,Семейная Винная Вилла (для людей с физическими особенностями),Семейная Винная Вилла (для людей с физическими особенностями),VILLA,fullpansion,302800.00,30280000,travelline,129428,851329|851363,,291405
2026-04-08,2,Императорская Вилла,Императорская Вилла,VILLA,breakfast,555700.00,55570000,travelline,71012,851329|851363,,144791
2026-04-08,2,Императорская Вилла,Императорская Вилла,VILLA,fullpansion,656600.00,65660000,travelline,71012,851329|851363,,144791
2026-04-08,2,Коннект Делюкс Прайм с видом на горы/сад (два смежных номера | размещение на 6-м этаже),Коннект Делюкс Прайм с видом на горы/сад (два смежных номера | размещение на 6-м этаже),DELUXE,breakfast,63500.00,6350000,travelline,222981,849522|849525,,532678
2026-04-08,2,Коннект Делюкс Прайм с видом на горы/сад (два смежных номера | размещение на 6-м этаже),Коннект Делюкс Прайм с видом на горы/сад (два смежных номера | размещение на 6-м этаже),DELUXE,fullpansion,70200.00,7020000,travelline,222981,849522|849525,,532678
2026-04-08,2,Коннект Делюкс Прайм с видом на море (два смежных номера | размещение на 6-м этаже),Коннект Делюкс Прайм с видом на море (два смежных номера | размещение на 6-м этаже),DELUXE,breakfast,73600.00,7360000,travelline,222986,849522|849525,,532688
2026-04-08,2,Коннект Делюкс Прайм с видом на море (два смежных номера | размещение на 6-м этаже),Коннект Делюкс Прайм с видом на море (два смежных номера | размещение на 6-м этаже),DELUXE,fullpansion,81700.00,8170000,travelline,222986,849522|849525,,532688
2026-04-08,2,Пентхаус (размещение на 6-м этаже),Пентхаус (размещение на 6-м этаже),PENTHOUSE,breakfast,118700.00,11870000,travelline,223050,849522|849525,,532823
2026-04-08,2,Пентхаус (размещение на 6-м этаже),Пентхаус (размещение на 6-м этаже),PENTHOUSE,fullpansion,131500.00,13150000,travelline,223050,849522|849525,,532823
2026-04-08,2,Президентская Винная Вилла,Президентская Винная Вилла,VILLA,breakfast,403700.00,40370000,travelline,113648,851329|851363,,251628
2026-04-08,2,Президентская Винная Вилла,Президентская Винная Вилла,VILLA,fullpansion,454800.00,45480000,travelline,113648,851329|851363,,251628
2026-04-08,2,Семейная Винная Вилла,Семейная Винная Вилла,VILLA,breakfast,272600.00,27260000,travelline,113646,851329|851363,,251621
2026-04-08,2,Семейная Винная Вилла,Семейная Винная Вилла,VILLA,fullpansion,302800.00,30280000,travelline,113646,851329|851363,,251621
2026-04-08,2,Семейная Винная Вилла (для людей с физическими особенностями),Семейная Винная Вилла (для людей с физическими особенностями),VILLA,breakfast,272600.00,27260000,travelline,129428,851329|851363,,291406
2026-04-08,2,Семейная Винная Вилла (для людей с физическими особенностями),Семейная Винная Вилла (для людей с физическими особенностями),VILLA,fullpansion,302800.00,30280000,travelline,129428,851329|851363,,291406
2026-04-08,3,Императорская Вилла,Императорская Вилла,VILLA,breakfast,555700.00,55570000,travelline,71012,851329|851363,,144792
2026-04-08,3,Императорская Вилла,Императорская Вилла,VILLA,fullpansion,656600.00,65660000,travelline,71012,851329|851363,,144792
2026-04-08,3,Коннект Делюкс Прайм с видом на горы/сад (два смежных номера | размещение на 6-м этаже),Коннект Делюкс Прайм с видом на горы/сад (два смежных номера | размещение на 6-м этаже),DELUXE,breakfast,74500.00,7450000,travelline,222981,849522|849525,,532679
